23078,9/15/11,39,0.07,140,5156.41,Jay O'Donnell,Maine,East,Development - Front End Web,1,0.64
24705,9/15/11,34,0.03,160,5358.49,Annie Martin,Utah,West,Development - Java,1,0.56
24705,9/15/11,15,0,150,2284.83,Annie Martin,Utah,West,Consulting - Business Model,1,0.59
26439,9/15/11,38,0,150,5788.24,Justin Bell,North Carolina,South,Consulting - Business Model,1,0.6
26439,9/15/11,37,0.04,110,3967.69,Justin Bell,North Carolina,South,Development - Python,1,0.55
26439,9/15/11,23,0.1,150,3153.07,Justin Bell,North Carolina,South,Consulting - Market Research,1,0.59
27589,9/15/11,20,0.02,150,2985.51,Darren Perrino,Texas,Central,Consulting - Business Model,1,0.65
27589,9/15/11,25,0.04,125,3046.44,Darren Perrino,Texas,Central,Training - SQL,1,0.6
27589,9/15/11,36,0.07,125,4249.79,Darren Perrino,Texas,Central,Training - Javascript,1,0.58
27781,9/15/11,47,0,110,5250.04,Shahid Boyes,Michigan,Central,Development - PHP,1,0.54
32580,9/15/11,23,0.03,110,2492.09,Paul Chance,South Dakota,Central,Development - Python,1,0.53
32580,9/15/11,38,0.05,110,4032.47,Paul Chance,South Dakota,Central,Development - Python,1,0.32
47174,9/16/11,42,0,150,6397.69,Maria Wilson,MO,Central,Consulting - Strategy,1,0.53
20071,9/17/11,31,0.1,125,3541.66,Cari Murry,Illinois,Central,Training - Development,1,0.4
1127,9/18/11,48,0.01,125,6032.4,Stuart Engle,Ohio,East,Training - SQL,1,0.4
18852,9/19/11,17,0.01,110,1880.14,Theresa Dickinson,New York,East,Development - Python,1,0.38
22210,9/19/11,37,0.1,110,3720.07,Tracy Hale,Virginia,South,Development - Python,1,0.35
26787,9/19/11,25,0.08,110,2569.42,Jamie Hansen,Florida,South,Development - Python,1,0.36
27715,9/19/11,12,0.06,160,1832.92,Darrin Ulpright,California,West,Development - Java,1,0.68
28992,9/19/11,41,0.1,200,7494.98,Craig Donatelli,New Jersey,East,Development - Big Data,1,0.71
36708,9/19/11,46,0.01,150,6937.43,William Jacobs,Georgia,South,Consulting - Strategy,1,0.65
36708,9/19/11,25,0.07,150,3541.84,William Jacobs,Georgia,South,Consulting - Market Research,1,0.61
55492,9/19/11,10,0.03,150,1477.67,Stewart Kelly,New York,East,Consulting - Market Research,1,0.53
19462,9/20/11,2,0,200,406.24,Mark Nockton,Michigan,Central,Development - Big Data,1,0.71
21188,9/21/11,29,0.04,150,4241.27,Matthew Lucas,New Mexico,West,Consulting - Compensation,1,0.59
2658,9/22/11,34,0.04,110,3646.61,Bill Black,California,West,Development - Python,1,0.54
2658,9/22/11,32,0.09,200,5915.17,Bill Black,California,West,Development - Big Data,1,0.71
3363,9/22/11,21,0.09,200,3881.83,Gary Monton,Texas,Central,Development - Big Data,1,0.69
6086,9/22/11,48,0.04,110,5148.15,Michael Vittorini,New Jersey,East,Development - Python,1,0.45
18375,9/22/11,20,0.03,200,3940.74,Theresa Dickinson,New York,East,Development - Scala,1,0.78
18593,9/22/11,23,0.06,150,3293.77,Tamara Tyler,Idaho,West,Consulting - Business Model,1,0.53
18593,9/22/11,19,0.09,125,2195.08,Tamara Tyler,Idaho,West,Training - Javascript,1,0.43
41184,9/22/11,7,0.02,200,1393.48,Charlotte Dodson,Illinois,Central,Development - Big Data,1,0.65
45606,9/22/11,38,0.1,125,4341.92,Jim Kriz,Indiana,Central,Training - SQL,1,0.64
45606,9/22/11,24,0.09,120,2661.83,Jim Kriz,Indiana,Central,Development - Business Logic,1,0.63
22149,9/23/11,47,0.07,120,5327.44,Bobby Radford,Connecticut,East,Development - Business Logic,1,0.53
22149,9/23/11,17,0.09,120,1885.51,Bobby Radford,Maine,East,Development - Business Logic,1,0.52
52711,9/23/11,7,0,150,1066.46,Aimee DeCherney,Virginia,South,Consulting - Business Model,1,0.62
52711,9/23/11,41,0,125,5205.36,Aimee DeCherney,Virginia,South,Training - SQL,1,0.54
52711,9/23/11,37,0.08,140,4840.32,Aimee DeCherney,Texas,Central,Development - Database,1,0.46
58247,9/23/11,8,0.02,170,1353.7,Christopher Brandow,Colorado,West,Development - .Net,1,0.7
58247,9/23/11,14,0.09,110,1423.37,Christopher Brandow,Colorado,West,Development - Python,1,0.47
15621,9/24/11,18,0.02,120,2150.04,Gene Zandusky,Iowa,Central,Development - Business Logic,1,0.57
15621,9/24/11,39,0.02,200,7764.05,Gene Zandusky,Iowa,Central,Development - Big Data,1,0.71
31233,9/24/11,41,0.06,150,5871.79,Brad Fisher,California,West,Consulting - Business Model,1,0.53
31233,9/24/11,3,0.06,110,315.07,Brad Fisher,California,West,Development - Python,1,0.36
31233,9/24/11,35,0.06,120,4010,Brad Fisher,California,West,Development - Business Logic,1,0.44
31233,9/24/11,19,0,125,2412.3,Brad Fisher,California,West,Training - Javascript,1,0.58
38758,9/24/11,7,0,170,1208.69,Justin McVee,Michigan,Central,Development - .Net,1,0.69
45794,9/24/11,28,0,150,4265.96,Rick Hirasaki,Florida,South,Consulting - Business Model,1,0.65
18085,9/25/11,23,0.01,125,2891.02,Lisa Ann Reed,South Dakota,Central,Training - Javascript,1,0.53
18085,9/25/11,33,0.09,150,4575.35,Lisa Ann Reed,South Dakota,Central,Consulting - Market Research,1,0.55
24996,9/25/11,36,0.01,170,6154.1,Roy Schnelling,Washington,West,Development - .Net,1,0.69
