16837,1/21/11,4,0.09,125,459.36,Jill Caudle,Florida,South,Training - Development,1,0.52
35399,1/21/11,38,0.04,160,5892.73,Karen Pelletier,Mississippi,South,Development - Java,1,0.63
57217,1/21/11,35,0.06,120,3985.83,Alan Blumstein,New York,East,Development - Business Logic,1,0.38
2883,1/22/11,34,0.1,200,6178.79,Rob Cano,Iowa,Central,Development - Big Data,1,0.72
9824,1/22/11,39,0.03,170,6492.88,Thomas Ferrer,California,West,Development - .Net,1,0.58
9824,1/22/11,5,0,200,1009.61,Thomas Ferrer,California,West,Development - Scala,1,0.74
9824,1/22/11,43,0.1,120,4688.61,Thomas Ferrer,California,West,Development - Business Logic,1,0.48
21606,1/22/11,43,0.06,150,6121.25,Troy Hwang,Vermont,East,Consulting - Business Model,1,0.65
21606,1/22/11,29,0.06,150,4128.28,Troy Hwang,New Jersey,East,Consulting - Business Model,1,0.53
50208,1/22/11,4,0.1,160,581.53,Sarah Balk,Michigan,Central,Development - Java,1,0.72
49443,1/23/11,41,0.05,120,4719.02,Nicole Guthrie,New Jersey,East,Development - Business Logic,1,0.5
386,1/24/11,4,0.02,200,791.57,Tracy Miller,Ohio,East,Development - Scala,1,0.71
386,1/24/11,4,0.09,120,441.02,Tracy Miller,Ohio,East,Development - Business Logic,1,0.58
21890,1/24/11,27,0.01,120,3238.58,Amy Brennan,Connecticut,East,Development - Business Logic,1,0.44
21890,1/24/11,44,0.06,110,4593.53,Amy Brennan,California,West,Development - PHP,1,0.44
47136,1/24/11,18,0,160,2907.81,Deborah Braxton,MA,East,Development - Java,1,0.68
49761,1/24/11,45,0.07,150,6338.12,Lisa Ann Reed,Kansas,Central,Consulting - Strategy,1,0.7
25095,1/25/11,18,0.06,110,1879.22,Brian Beltran,Texas,Central,Development - PHP,1,0.59
25095,1/25/11,41,0.08,150,5712.78,Brian Beltran,Texas,Central,Consulting - Strategy,1,0.67
33091,1/25/11,24,0.02,110,2612.25,Robert Jones,MO,Central,Development - Python,1,0.54
24388,1/26/11,15,0,150,2271.84,Erica Percer,Indiana,Central,Consulting - Compensation,1,0.59
49601,1/26/11,15,0.01,125,1874.27,Mark Nockton,Minnesota,Central,Training - Development,1,0.44
51974,1/26/11,10,0.05,170,1630.68,Trudy Tran,Tennessee,South,Development - .Net,1,0.69
51974,1/26/11,2,0.05,160,306.95,Trudy Tran,Tennessee,South,Development - Java,1,0.69
52199,1/26/11,19,0.05,160,2916.03,Adam Wendt,Oregon,West,Development - Java,1,0.61
15106,1/27/11,42,0.03,125,5142.06,Dorothy Miner,Illinois,Central,Training - SQL,1,0.54
